,blurb,href,id,numrate,price,seller,stars
29,"Printable birthday card, Happy birthday card, Birthday card, Printable card, Giraffe card, Scandinavian style, Love card, Birthday gift idea",https://www.etsy.com/listing/566882211/printable-birthday-card-happy-birthday?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-30,566882211,137,1.44,MonRosePompon,5
30,What If You Fly? - Canvas,https://www.etsy.com/listing/504097485/what-if-you-fly-canvas?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-31,504097485,1001,19.99,palaceandjames,4.9744
31,"Smokey the Bear ""Resist"" Vinyl Sticker",https://www.etsy.com/listing/501800214/smokey-the-bear-resist-vinyl-sticker?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-32&bes=1,501800214,172,3.00,ShingoCollective,4.4762
32,Over the Garden Wall Stickers Set,https://www.etsy.com/listing/398515519/over-the-garden-wall-stickers-set?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-33,398515519,47,3.00,Duriandoodles,5
33,"Scandinavian Nursery Wall Art, Unique Baby Gift, Kids Room Decor, Black and White Art for Kids Room, Animal Prints, Cute Digital Poster",https://www.etsy.com/listing/504374965/scandinavian-nursery-wall-art-unique?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-2-34,504374965,162,6.00,KubemStudio,5
34,"Bullsh*t Swear word DIY Print at home  Digital Download Colouring Page, Adult Coloring, Swear words colouring page, sweary coloring page",https://www.etsy.com/listing/268018736/bullsht-swear-word-diy-print-at-home?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-1,268018736,378,1.67,WickedlyLovelyArt,4.5676
35,Movie poster Jaws retro print in various sizes,https://www.etsy.com/listing/61920074/movie-poster-jaws-retro-print-in-various?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-2&cns=1,61920074,2673,21.32,ClaudiaVarosio,4.9799
36,"Elephant print, Nursery decor, Elephant wall art, Baby animal art, Nursery prints, Watercolor Elephant",https://www.etsy.com/listing/467121892/elephant-print-nursery-decor-elephant?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-3&cns=1,467121892,532,12.06,LaSardinaRosa,4.9
37,"Cute CAT set 1 ,Kawaii cat clipart instant download PNG file - 300 dpi",https://www.etsy.com/listing/506461516/cute-cat-set-1-kawaii-cat-clipart?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-4,506461516,11195,4.50,HandMek,4.9965
38,"Christmas Plaid Digital Paper, Christmas Papers, Digital Plaid Paper, Printable, Commercial Use",https://www.etsy.com/listing/491234541/christmas-plaid-digital-paper-christmas?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-5&bes=1,491234541,6742,0.99,HuckleberryHearts,4.9835
